pool,tf,model,test_symbol,asset_class,tier,cutoff,n,wins,losses,wr,pf,expR
fx_train,30m,LightGBM,SOLUSDT,crypto,Standard,0.48923026093020794,5990,2281,3630,0.3858907122314329,0.9425619834710743,-0.03480801335559265
fx_train,30m,LightGBM,SOLUSDT,crypto,High,0.5033839211100936,307,105,200,0.3442622950819672,0.7875,-0.13843648208469056
fx_train,30m,LightGBM,SOLUSDT,crypto,Premium,0.5201878602474604,7,2,5,0.2857142857142857,0.6,-0.2857142857142857
fx_train,30m,LightGBM,USDCHF,fx,Standard,0.48923026093020794,2460,1008,1433,0.41294551413355185,1.055129099790649,0.03211382113821138
fx_train,30m,LightGBM,USDCHF,fx,High,0.5033839211100936,559,257,294,0.4664246823956443,1.3112244897959184,0.16368515205724507
fx_train,30m,LightGBM,USDCHF,fx,Premium,0.5201878602474604,180,86,94,0.4777777777777778,1.372340425531915,0.19444444444444445
fx_train,30m,LightGBM,USDJPY,fx,Standard,0.48923026093020794,2533,1037,1492,0.4100434954527481,1.0425603217158177,0.025069088037899725
fx_train,30m,LightGBM,USDJPY,fx,High,0.5033839211100936,724,315,406,0.4368932038834951,1.1637931034482758,0.09185082872928177
fx_train,30m,LightGBM,USDJPY,fx,Premium,0.5201878602474604,339,148,189,0.4391691394658754,1.1746031746031746,0.09734513274336283
fx_train,1h,LightGBM,ADAUSDT,crypto,Standard,0.498380317827923,5624,2173,3384,0.3910383300341911,0.963209219858156,-0.022137268847795162
fx_train,1h,LightGBM,ADAUSDT,crypto,High,0.5066115742097532,3873,1528,2292,0.4,1.0,0.0
fx_train,1h,LightGBM,ADAUSDT,crypto,Premium,0.5114265753619736,2109,825,1257,0.3962536023054755,0.9844868735083532,-0.009246088193456615
fx_train,1h,LightGBM,AUDUSD,fx,Standard,0.498380317827923,2861,1120,1735,0.3922942206654991,0.968299711815562,-0.019224047535826634
fx_train,1h,LightGBM,AUDUSD,fx,High,0.5066115742097532,733,275,457,0.3756830601092896,0.9026258205689278,-0.06070941336971351
fx_train,1h,LightGBM,AUDUSD,fx,Premium,0.5114265753619736,227,83,144,0.3656387665198238,0.8645833333333334,-0.08590308370044053
fx_train,1h,LightGBM,BNBUSDT,crypto,Standard,0.498380317827923,6489,2568,3861,0.3994400373308446,0.9976689976689976,-0.0013869625520110957
fx_train,1h,LightGBM,BNBUSDT,crypto,High,0.5066115742097532,4352,1691,2617,0.3925255338904364,0.969239587313718,-0.018497242647058824
fx_train,1h,LightGBM,BNBUSDT,crypto,Premium,0.5114265753619736,2348,926,1397,0.39862247094274644,0.9942734430923408,-0.0034071550255536627
fx_train,1h,LightGBM,BTCUSDT,crypto,Standard,0.498380317827923,5951,2291,3485,0.39664127423822715,0.9860832137733142,-0.008149890774659722
fx_train,1h,LightGBM,BTCUSDT,crypto,High,0.5066115742097532,3932,1520,2289,0.39905487004463114,0.9960681520314548,-0.002288911495422177
fx_train,1h,LightGBM,BTCUSDT,crypto,Premium,0.5114265753619736,2004,766,1194,0.39081632653061227,0.9623115577889447,-0.02245508982035928
fx_train,1h,LightGBM,ETHUSDT,crypto,Standard,0.498380317827923,5361,2177,3058,0.41585482330468004,1.0678548070634402,0.0387054653982466
fx_train,1h,LightGBM,ETHUSDT,crypto,High,0.5066115742097532,3700,1507,2096,0.4182625589786289,1.078482824427481,0.044459459459459456
fx_train,1h,LightGBM,ETHUSDT,crypto,Premium,0.5114265753619736,2012,803,1140,0.4132784354091611,1.056578947368421,0.03205765407554672
fx_train,1h,LightGBM,EURUSD,fx,Standard,0.498380317827923,1423,603,816,0.4249471458773784,1.1084558823529411,0.06219255094869993
fx_train,1h,LightGBM,EURUSD,fx,High,0.5066115742097532,317,142,175,0.4479495268138801,1.217142857142857,0.11987381703470032
fx_train,1h,LightGBM,EURUSD,fx,Premium,0.5114265753619736,110,53,57,0.4818181818181818,1.394736842105263,0.20454545454545456
fx_train,1h,LightGBM,GBPUSD,fx,Standard,0.498380317827923,1650,687,955,0.41839220462850185,1.0790575916230367,0.04575757575757576
fx_train,1h,LightGBM,GBPUSD,fx,High,0.5066115742097532,344,149,193,0.43567251461988304,1.1580310880829014,0.08866279069767442
fx_train,1h,LightGBM,GBPUSD,fx,Premium,0.5114265753619736,96,43,53,0.4479166666666667,1.2169811320754718,0.11979166666666667
fx_train,1h,LightGBM,SOLUSDT,crypto,Standard,0.498380317827923,5433,2125,3245,0.3957169459962756,0.9822804314329738,-0.010583471378612186
fx_train,1h,LightGBM,SOLUSDT,crypto,High,0.5066115742097532,3877,1487,2337,0.3888598326359833,0.9544287548138639,-0.0274696930616456
fx_train,1h,LightGBM,SOLUSDT,crypto,Premium,0.5114265753619736,2042,783,1232,0.38858560794044666,0.953327922077922,-0.028158667972575907
fx_train,1h,LightGBM,USDCHF,fx,Standard,0.498380317827923,1976,767,1207,0.38855116514690985,0.9531897265948633,-0.028593117408906882
fx_train,1h,LightGBM,USDCHF,fx,High,0.5066115742097532,496,208,288,0.41935483870967744,1.0833333333333333,0.04838709677419355
fx_train,1h,LightGBM,USDCHF,fx,Premium,0.5114265753619736,156,74,82,0.47435897435897434,1.353658536585366,0.1858974358974359
fx_train,1h,LightGBM,USDJPY,fx,Standard,0.498380317827923,2450,1007,1425,0.4140625,1.06,0.03489795918367347
fx_train,1h,LightGBM,USDJPY,fx,High,0.5066115742097532,754,299,447,0.4008042895442359,1.0033557046979866,0.001989389920424403
fx_train,1h,LightGBM,USDJPY,fx,Premium,0.5114265753619736,294,121,168,0.4186851211072664,1.0803571428571428,0.04591836734693878
