pool,tf,model,asset_class,feature,mean_abs_shap
fx_train,1h,LightGBM,crypto,hour_cos,0.003053486040539547
fx_train,1h,LightGBM,crypto,momentum_composite,0.005290726349101003
fx_train,1h,LightGBM,crypto,rvol_20,0.00017660904705664777
fx_train,1h,LightGBM,crypto,adx_14,0.05882877559062231
fx_train,1h,LightGBM,crypto,ema_20_dist_atr,0.0040959874137825114
fx_train,1h,LightGBM,crypto,htf_1h_atr_percentile_100,0.0005470251639273046
fx_train,1h,LightGBM,crypto,htf_ltf_agree_bull,0.0028180040953085486
fx_train,1h,LightGBM,crypto,htf_ltf_agree_bear,0.0
fx_train,1h,LightGBM,crypto,htf_ltf_counter_trend,0.0
fx_train,1h,LightGBM,crypto,htf_ltf_alignment_score,0.0175411962967966
fx_train,1h,LightGBM,crypto,ltf_rsi_minus_htf_rsi,0.0030099483247710067
fx_train,1h,LightGBM,crypto,both_rsi_oversold,0.0
fx_train,1h,LightGBM,crypto,both_rsi_overbought,0.0
fx_train,1h,LightGBM,crypto,vol_pct_diff_htf,0.00048490213240152713
fx_train,1h,LightGBM,crypto,both_high_vol,0.0
fx_train,1h,LightGBM,crypto,both_low_vol,0.0
fx_train,1h,LightGBM,crypto,pullback_in_bull,0.0
fx_train,1h,LightGBM,crypto,pullback_in_bear,0.0003610758154330084
